P1AItype;P2AIType;GameMode;NumberOfDots;P1NumerOfThreads;P2NumberOfThreads;P1AIDepth;P2AIDepth;P1Threshold;P2Threshold;P1AVGRunningTime;P2AVGRunningTime;P1FinalScore;P2FinalScore;Winner
Min Max AI;Min Max AI;1;8;2;2;3;3;0,5;0,5;292,2222;360,3333;16,94039;66,4264;2
Min Max AI;Min Max AI;1;8;2;2;3;3;0,5;0,5;538,1111;299,1429;21,36868;62,00869;2
Min Max AI;Min Max AI;1;8;2;2;3;3;0,5;0,5;328,4286;499,4445;40,04408;23,26028;1
Min Max AI;Min Max AI;1;8;2;2;3;3;0,5;0,5;567,8571;501,5;32,96203;17,15818;1
Min Max AI;Min Max AI;1;8;2;2;3;3;0,5;0,5;576,3333;488,7778;45,86404;49,18195;2
Min Max AI;Min Max AI;1;8;2;2;3;3;0,5;0,5;495,6667;447,5555;26,53188;38,63897;2
Min Max AI;Min Max AI;1;8;2;2;3;3;0,5;0,5;354,375;461,75;16,82809;69,10549;2
Min Max AI;Min Max AI;1;8;2;2;3;3;0,5;0,5;556,5714;627,2857;31,95475;22,48122;1
Min Max AI;Min Max AI;1;8;2;2;3;3;0,5;0,5;389;518,75;66,10003;18,15007;1
Min Max AI;Min Max AI;1;8;2;2;3;3;0,5;0,5;332,3333;408,4445;39,65363;52,26945;2
Min Max AI;Min Max AI;2;8;2;2;3;3;0,5;0,5;449,9;505,3333;38,53309;47,98116;2
Min Max AI;Min Max AI;2;8;2;2;3;3;0,5;0,5;499,7;430,6667;36,39485;42,30532;2
Min Max AI;Min Max AI;2;8;2;2;3;3;0,5;0,5;387,25;321,2;1,318835;54,43127;2
Min Max AI;Min Max AI;2;8;2;2;3;3;0,5;0,5;422;467,8;34,50518;37,1669;2
Min Max AI;Min Max AI;2;8;2;2;3;3;0,5;0,5;451,5;324,4445;13,89209;55,08897;2
Min Max AI;Min Max AI;2;8;2;2;3;3;0,5;0,5;563,9;377,6667;32,04282;31,57061;1
Min Max AI;Min Max AI;2;8;2;2;3;3;0,5;0,5;414,9167;487,9;56,68218;27,82951;1
Min Max AI;Min Max AI;2;8;2;2;3;3;0,5;0,5;258,9;455,4;42,29642;37,14948;1
Min Max AI;Min Max AI;2;8;2;2;3;3;0,5;0,5;405,25;509,2727;8,451701;74,17036;2
Min Max AI;Min Max AI;2;8;2;2;3;3;0,5;0,5;484,2222;387,375;25,82308;26,96952;2
Min Max AI;Min Max AI;3;8;2;2;3;3;0,5;0,5;371,3333;389;47,949;45,90151;1
Min Max AI;Min Max AI;3;8;2;2;3;3;0,5;0,5;346;421;67,32076;7,933023;1
Min Max AI;Min Max AI;3;8;2;2;3;3;0,5;0,5;392,6154;454,8889;46,93623;11,36901;1
Min Max AI;Min Max AI;3;8;2;2;3;3;0,5;0,5;559,25;522,5;26,91952;38,86808;2
Min Max AI;Min Max AI;3;8;2;2;3;3;0,5;0,5;518,1;430,3636;9,584681;59,48685;2
Min Max AI;Min Max AI;3;8;2;2;3;3;0,5;0,5;452;581,9167;44,14069;43,56657;1
Min Max AI;Min Max AI;3;8;2;2;3;3;0,5;0,5;412,3636;371,5714;71,46911;5,342884;1
Min Max AI;Min Max AI;3;8;2;2;3;3;0,5;0,5;447,4;478,2222;31,38862;33,9356;2
Min Max AI;Min Max AI;3;8;2;2;3;3;0,5;0,5;650,9;447,8889;32,6701;44,80907;2
Min Max AI;Min Max AI;3;8;2;2;3;3;0,5;0,5;409,75;442,375;11,00369;40,4637;2
